Dataset,Data_Split,Features,Normalization,Train_R2,Train_RMSE,Test_R2,Test_RMSE
CMX1_AL_CP1.csv,0.6,all,yes,0.9999913873448184,0.0001138661294201,0.9405767105878832,0.0071954847981381
CMX1_AL_CP1.csv,0.6,all,no,0.99999130549825,0.0032334187292731,0.9415508232473,0.2016900560641621
CMX1_AL_CP1.csv,0.6,subset,yes,0.999992686982542,0.0001049238778746,0.9446324474154956,0.0069455937709147
CMX1_AL_CP1.csv,0.6,subset,no,0.9999923289495688,0.0030371554364204,0.946739838383054,0.1925291650428538
CMX1_AL_CP1.csv,0.7,all,yes,0.9999922597195624,0.0001068038869196,0.9994269482576468,0.0006427698730598
CMX1_AL_CP1.csv,0.7,all,no,0.9999924377792172,0.0029836436934478,0.9994918927521806,0.0171060548816507
CMX1_AL_CP1.csv,0.7,subset,yes,0.9999930207751776,0.0001014173607919,0.998185399594382,0.0011437973765914
CMX1_AL_CP1.csv,0.7,subset,no,0.9999929422677252,0.0028824041350117,0.9981357598080732,0.0327659753008127
CMX1_AL_CP1.csv,0.8,all,yes,0.9999934360762764,9.86785317922094e-05,0.99846626678085,0.0007300465641843
CMX1_AL_CP1.csv,0.8,all,no,0.9999932289239633,0.0028325874947015,0.9983744238979652,0.0212418762368609
CMX1_AL_CP1.csv,0.8,subset,yes,0.9999935230539064,9.802256383832372e-05,0.9965661688777432,0.0010923583067957
CMX1_AL_CP1.csv,0.8,subset,no,0.9999936827870662,0.0027360072636464,0.9967392494031778,0.03008486121455
CMX1_AL_CP2.csv,0.6,all,yes,0.999981850289558,0.00019617640207,0.9553755697438248,0.009203046004128
CMX1_AL_CP2.csv,0.6,all,no,0.999982226091414,0.0035567049828085,0.9530088212105888,0.1730206256354046
CMX1_AL_CP2.csv,0.6,subset,yes,0.9999678818205426,0.0002609680707546,0.9613097656138893,0.0085693115233037
CMX1_AL_CP2.csv,0.6,subset,no,0.999971579954358,0.0044974749986188,0.9619341412584514,0.1557247076084539
CMX1_AL_CP2.csv,0.7,all,yes,0.9999845952157989,0.0001914354910256,0.980140025479562,0.0049817665221497
CMX1_AL_CP2.csv,0.7,all,no,0.99998468348268,0.0034971891132979,0.9797338593301638,0.0921985328473477
CMX1_AL_CP2.csv,0.7,subset,yes,0.9999760478118328,0.0002387081486573,0.979960479436698,0.0050042349282963
CMX1_AL_CP2.csv,0.7,subset,no,0.9999765461591902,0.0043275898263034,0.9799013593621524,0.0918167310107745
CMX1_AL_CP2.csv,0.8,all,yes,0.9999845005777696,0.0001808391469541,0.9785376474551436,0.0060875998932208
CMX1_AL_CP2.csv,0.8,all,no,0.999983173892892,0.0034520015104511,0.9784924217717552,0.1116471526275835
CMX1_AL_CP2.csv,0.8,subset,yes,0.9999698084173164,0.0002523931913365,0.9788985096730574,0.0060362053108588
CMX1_AL_CP2.csv,0.8,subset,no,0.9999708200428412,0.0045459167427835,0.978837342174895,0.1107482827895161
CMX1_S_CP1.csv,0.6,all,yes,0.9999999294275042,2.648454403924982e-05,0.645934119452068,0.028164005494609
CMX1_S_CP1.csv,0.6,all,no,0.9999999289456004,0.0009170062966293,0.5945838686094023,1.039932049236955
CMX1_S_CP1.csv,0.6,subset,yes,0.9999997470517564,5.014072347658818e-05,0.6093038301827276,0.0295850261947051
CMX1_S_CP1.csv,0.6,subset,no,0.9999997760922318,0.0016278388581882,0.6390565780185626,0.9812372256705968
CMX1_S_CP1.csv,0.7,all,yes,0.99999990718335,2.871052194912076e-05,0.4838250507627734,0.0375508749547286
CMX1_S_CP1.csv,0.7,all,no,0.9999999066281254,0.0009936610151667,0.4498622236539139,1.337702077627002
CMX1_S_CP1.csv,0.7,subset,yes,0.9999997330189436,4.869320567865613e-05,0.4327294056870651,0.0393655872578761
CMX1_S_CP1.csv,0.7,subset,no,0.9999997579053448,0.0016000104270617,0.4383751622592494,1.3515957602837168
CMX1_S_CP1.csv,0.8,all,yes,0.999999772860828,4.331372989364019e-05,0.7182667993540262,0.0310570909823883
CMX1_S_CP1.csv,0.8,all,no,0.9999997722507966,0.0014966149077242,0.7232036671104252,1.0622432857977344
CMX1_S_CP1.csv,0.8,subset,yes,0.9999996219516514,5.587959340361258e-05,0.7191006459709017,0.0310110970414149
CMX1_S_CP1.csv,0.8,subset,no,0.9999996427076076,0.0018745348465242,0.7229245558351708,1.062778714449869
CMX1_S_CP2.csv,0.6,all,yes,0.9999909297281656,0.0002417004533633,0.9929915749570072,0.008914290434337
CMX1_S_CP2.csv,0.6,all,no,0.9999915353682984,0.0031396531237777,0.9933375826189283,0.1168699352692242
CMX1_S_CP2.csv,0.6,subset,yes,0.9999867790987594,0.0002918084367771,0.9935380753657608,0.0085596795745107
CMX1_S_CP2.csv,0.6,subset,no,0.9999868312848276,0.0039160600046092,0.9938701853347804,0.1121012762994295
CMX1_S_CP2.csv,0.7,all,yes,0.999991163067824,0.0002421622710387,0.9946420718822758,0.0083192096846569
CMX1_S_CP2.csv,0.7,all,no,0.9999909029255885,0.0033038240902407,0.994096947254883,0.1174173523672446
CMX1_S_CP2.csv,0.7,subset,yes,0.999987976514038,0.0002824690831539,0.9941330208151478,0.0087054435375816
CMX1_S_CP2.csv,0.7,subset,no,0.9999877728137756,0.003830269262737,0.9936541453870816,0.1217416014501042
CMX1_S_CP2.csv,0.8,all,yes,0.999991671962048,0.0002275329951503,0.9936039203267626,0.0101089025673775
CMX1_S_CP2.csv,0.8,all,no,0.9999919642547488,0.0030053595587932,0.9931803243892944,0.140358674706333
CMX1_S_CP2.csv,0.8,subset,yes,0.9999880281460908,0.0002728058884246,0.993338826623772,0.0103162639889357
CMX1_S_CP2.csv,0.8,subset,no,0.9999879373502378,0.0036821774760483,0.993532330085348,0.1366882942084286
DMC2_AL_CP1.csv,0.6,all,yes,0.9999547419889812,7.517431278487059e-05,0.581952725926812,0.0147736436147974
DMC2_AL_CP1.csv,0.6,all,no,0.9999538965524348,0.0073162813362253,0.5815938762644495,1.4252002755232005
DMC2_AL_CP1.csv,0.6,subset,yes,0.9999125579935024,0.0001044916993174,0.5959133992803698,0.0145248663593288
DMC2_AL_CP1.csv,0.6,subset,no,0.999907081943014,0.0103866083463753,0.5938616566747101,1.404151208328441
DMC2_AL_CP1.csv,0.7,all,yes,0.9998244111697668,0.0001585734265639,0.9435235414414056,0.0059135682361894
DMC2_AL_CP1.csv,0.7,all,no,0.999826885281837,0.015182766947541,0.9438701013769836,0.5684797179523479
DMC2_AL_CP1.csv,0.7,subset,yes,0.9997894030571264,0.0001736632799718,0.9477702475711012,0.0056868905277723
DMC2_AL_CP1.csv,0.7,subset,no,0.9997831296160112,0.0169935476430566,0.9481120257866774,0.5465768123602065
DMC2_AL_CP1.csv,0.8,all,yes,0.999857641751226,0.0001947567438596,0.9569725028337333,0.0042297279561342
DMC2_AL_CP1.csv,0.8,all,no,0.9998433866237616,0.0196977932057707,0.957613626071253,0.404813033847223
DMC2_AL_CP1.csv,0.8,subset,yes,0.9998304271072048,0.0002125589524188,0.9516641288160932,0.0044830560490939
DMC2_AL_CP1.csv,0.8,subset,no,0.9998371954608531,0.0200833613488595,0.9555563780507496,0.4145205606868033
DMC2_AL_CP2.csv,0.6,all,yes,0.9995934497451407,0.0004963498350589,0.9603892385536004,0.0071243287729001
DMC2_AL_CP2.csv,0.6,all,no,0.9995832677903468,0.0486894078382682,0.9594460213081444,0.6984402949136371
DMC2_AL_CP2.csv,0.6,subset,yes,0.9996705823918224,0.0004467907444438,0.964780496398614,0.0067178294325939
DMC2_AL_CP2.csv,0.6,subset,no,0.9996512755829016,0.0445396845434807,0.9648237938204824,0.65048464877328
DMC2_AL_CP2.csv,0.7,all,yes,0.999702482039132,0.0004721856394184,0.9281569698539108,0.0091987247713646
DMC2_AL_CP2.csv,0.7,all,no,0.999728281636735,0.0437210789054315,0.926714560510409,0.9001592479352423
DMC2_AL_CP2.csv,0.7,subset,yes,0.9997738495803792,0.0004116753650761,0.9418637534914512,0.0082748246300498
DMC2_AL_CP2.csv,0.7,subset,no,0.9997730328190166,0.0399588432316674,0.9379713482223452,0.8281455454504132
DMC2_AL_CP2.csv,0.8,all,yes,0.9997398935155568,0.0004132158826475,0.9254325814198632,0.0114319775283878
DMC2_AL_CP2.csv,0.8,all,no,0.9997154641083312,0.0418740666393511,0.9212269793798602,1.138441588348801
DMC2_AL_CP2.csv,0.8,subset,yes,0.9997675481074294,0.0003906321281065,0.9424437603347828,0.0100436833914123
DMC2_AL_CP2.csv,0.8,subset,no,0.9997554151124062,0.0388232082262323,0.9397259326629354,0.995834693542398
DMC2_S_CP1.csv,0.6,all,yes,0.9999954184237072,5.149263945975808e-05,0.600017702470339,0.0183842178562807
DMC2_S_CP1.csv,0.6,all,no,0.999995474583398,0.0060430748886162,0.600195653657428,2.1703987417620145
DMC2_S_CP1.csv,0.6,subset,yes,0.9999919386029688,6.83034826475919e-05,0.601926486577021,0.0183402990767047
DMC2_S_CP1.csv,0.6,subset,no,0.9999919763802804,0.0080466268474782,0.6018150671667591,2.165998665247094
DMC2_S_CP1.csv,0.7,all,yes,0.9999951393296496,5.076326933066072e-05,0.5870651837835543,0.0211957668852435
DMC2_S_CP1.csv,0.7,all,no,0.9999955707217512,0.0057221466379912,0.5876078407876558,2.5012355018920536
DMC2_S_CP1.csv,0.7,subset,yes,0.9999916734557488,6.644065380641452e-05,0.5891069469409895,0.0211433005364144
DMC2_S_CP1.csv,0.7,subset,no,0.9999917213787292,0.0078229671879222,0.5910443410197597,2.490792192110468
DMC2_S_CP1.csv,0.8,all,yes,0.9999577160973084,0.0001442730632263,0.7375483801636782,0.0200396354761056
DMC2_S_CP1.csv,0.8,all,no,0.9999588355849524,0.0168093026107097,0.7413265707688086,2.349265494027048
DMC2_S_CP1.csv,0.8,subset,yes,0.999950883128188,0.0001554937975411,0.7508108465191904,0.0195267405552986
DMC2_S_CP1.csv,0.8,subset,no,0.9999529011346444,0.017980176221046,0.7525227079312716,2.2978615976445846
DMC2_S_CP2.csv,0.6,all,yes,0.9996687277710227,0.0005019080296928497,0.9411128432847099,0.010012212059594341
DMC2_S_CP2.csv,0.6,all,no,0.9996787870214972,0.03960721257532005,0.9428514120423996,0.7904394494817761
DMC2_S_CP2.csv,0.6,subset,yes,0.9996617573441593,0.0005071609616081001,0.9561588355874858,0.008638946547671614
DMC2_S_CP2.csv,0.6,subset,no,0.999673295768993,0.039944327744770775,0.9521008816868082,0.7236517465006218
DMC2_S_CP2.csv,0.7,all,yes,0.999779850432268,0.00044664243356418225,0.928384863065837,0.011115787269063848
DMC2_S_CP2.csv,0.7,all,no,0.9997514788899502,0.038030217853011715,0.9211059035009842,0.9349882974456261
DMC2_S_CP2.csv,0.7,subset,yes,0.9997667065073406,0.00045978243411114633,0.9417678480912993,0.010023496269842787
DMC2_S_CP2.csv,0.7,subset,no,0.9997951921526466,0.03452394907360056,0.942569209794768,0.7977307216685156
DMC2_S_CP2.csv,0.8,all,yes,0.999726591836137,0.000522054987980591,0.9742251122951122,0.006496442021211208
DMC2_S_CP2.csv,0.8,all,no,0.9997114858721333,0.04297740221809534,0.9679070329398889,0.5809359053880947
DMC2_S_CP2.csv,0.8,subset,yes,0.9997656230182486,0.0004833569739632389,0.9645331731040737,0.007620585561545535
DMC2_S_CP2.csv,0.8,subset,no,0.9997551778362858,0.03958967938193995,0.9719680089847281,0.5429380225238459
