file                        ,len(df) ,abs_mean ,no_of_peaks>mean ,abs_two_times_mean ,no_of_peaks>2mean ,Num_Peaks_Lag100_Inf0_Th1 ,Num_Peaks_Lag100_Inf0_Th0.5 ,Num_Peaks_Lag100_Inf0_Th2 ,Num_Peaks_Lag100_Inf0.5_Th1 ,Num_Peaks_Lag100_Inf0.5_Th0.5 ,Num_Peaks_Lag100_Inf0.5_Th2 ,Num_Peaks_Lag100_Inf1_Th1 ,Num_Peaks_Lag100_Inf1_Th0.5 ,Num_Peaks_Lag100_Inf1_Th2 ,Num_Peaks_Lag500_Inf0_Th1 ,Num_Peaks_Lag500_Inf0_Th0.5 ,Num_Peaks_Lag500_Inf0_Th2 ,Num_Peaks_Lag500_Inf0.5_Th1 ,Num_Peaks_Lag500_Inf0.5_Th0.5 ,Num_Peaks_Lag500_Inf0.5_Th2 ,Num_Peaks_Lag500_Inf1_Th1 ,Num_Peaks_Lag500_Inf1_Th0.5 ,Num_Peaks_Lag500_Inf1_Th2 ,Num_Peaks_Lag1000_Inf0_Th1 ,Num_Peaks_Lag1000_Inf0_Th0.5 ,Num_Peaks_Lag1000_Inf0_Th2 ,Num_Peaks_Lag1000_Inf0.5_Th1 ,Num_Peaks_Lag1000_Inf0.5_Th0.5 ,Num_Peaks_Lag1000_Inf0.5_Th2 ,Num_Peaks_Lag1000_Inf1_Th1 ,Num_Peaks_Lag1000_Inf1_Th0.5 ,Num_Peaks_Lag1000_Inf1_Th2
RS_Energie_V_AL_2007.csv0.5 ,  37411 ,   0.855 ,           23155 ,             1.71  ,             1771 ,                  31323.0 ,                    31323.0 ,                  31323.0 ,                    22465.0 ,                      27095.0 ,                     5714.0 ,                  19685.0 ,                    25518.0 ,                   4375.0 ,                  31323.0 ,                    31323.0 ,                  31323.0 ,                    16841.0 ,                      26229.0 ,                     4538.0 ,                  15132.0 ,                    25060.0 ,                   3976.0 ,                   31323.0 ,                     31323.0 ,                   31323.0 ,                     11690.0 ,                       24952.0 ,                      3750.0 ,                   10944.0 ,                     24180.0 ,                    3605.0
RS_Energie_V_AL_2007.csv0.3 ,  22446 ,   0.679 ,           13140 ,             1.358 ,              966 ,                  16359.0 ,                    16359.0 ,                  16359.0 ,                    12627.0 ,                      14552.0 ,                     7560.0 ,                  11716.0 ,                    14013.0 ,                   6199.0 ,                  16359.0 ,                    16359.0 ,                  16359.0 ,                    11911.0 ,                      14365.0 ,                     5316.0 ,                  11149.0 ,                    13894.0 ,                   4675.0 ,                   16359.0 ,                     16359.0 ,                   16359.0 ,                      8637.0 ,                       14135.0 ,                      3773.0 ,                    8312.0 ,                     13880.0 ,                    3525.0
RS_Energie_V_AL_2007.csv0.2 ,  14964 ,   0.494 ,            6197 ,             0.988 ,             1080 ,                   8877.0 ,                     8877.0 ,                   8877.0 ,                     7635.0 ,                       8137.0 ,                     6151.0 ,                   7634.0 ,                     8187.0 ,                   6009.0 ,                   8877.0 ,                     8877.0 ,                   8877.0 ,                     7425.0 ,                       8179.0 ,                     5146.0 ,                   7342.0 ,                     8135.0 ,                   5021.0 ,                    8877.0 ,                      8877.0 ,                    8877.0 ,                      7094.0 ,                        8185.0 ,                      3480.0 ,                    7073.0 ,                      8176.0 ,                    3478.0
RS_Energie_V_S235JR.csv0.5  ,  22734 ,   1.71  ,           14168 ,             3.42  ,              383 ,                  21060.0 ,                    21060.0 ,                  21060.0 ,                     4351.0 ,                      14609.0 ,                      590.0 ,                   3586.0 ,                    13926.0 ,                    535.0 ,                  21060.0 ,                    21060.0 ,                  21060.0 ,                     4729.0 ,                      11052.0 ,                     1093.0 ,                   4534.0 ,                    10793.0 ,                   1068.0 ,                   21060.0 ,                     21060.0 ,                   21060.0 ,                      3832.0 ,                        7514.0 ,                      1372.0 ,                    3793.0 ,                      7502.0 ,                    1356.0
RS_Energie_V_S235JR.csv0.3  ,  13640 ,   1.498 ,            8827 ,             2.996 ,              256 ,                  11966.0 ,                    11966.0 ,                  11966.0 ,                     4100.0 ,                       8486.0 ,                      393.0 ,                   3608.0 ,                     8358.0 ,                    362.0 ,                  11966.0 ,                    11966.0 ,                  11966.0 ,                     3204.0 ,                       7564.0 ,                      742.0 ,                   3050.0 ,                     7384.0 ,                    730.0 ,                   11966.0 ,                     11966.0 ,                   11966.0 ,                      2749.0 ,                        5419.0 ,                       952.0 ,                    2710.0 ,                      5411.0 ,                     944.0
RS_Energie_V_S235JR.csv0.2  ,   9093 ,   1.125 ,            4510 ,             2.25  ,              469 ,                   7419.0 ,                     7419.0 ,                   7419.0 ,                     4249.0 ,                       5746.0 ,                      554.0 ,                   4005.0 ,                     5822.0 ,                    496.0 ,                   7419.0 ,                     7419.0 ,                   7419.0 ,                     3415.0 ,                       5923.0 ,                     1046.0 ,                   3373.0 ,                     5897.0 ,                   1019.0 ,                    7419.0 ,                      7419.0 ,                    7419.0 ,                      2667.0 ,                        4403.0 ,                      1182.0 ,                    2652.0 ,                      4401.0 ,                    1167.0
AL_RS_Energie.csv0.5        ,  32168 ,   1.348 ,            1712 ,             2.696 ,              522 ,                  30990.0 ,                    30990.0 ,                  30990.0 ,                    10760.0 ,                      21080.0 ,                      404.0 ,                   6799.0 ,                    18061.0 ,                    380.0 ,                  30990.0 ,                    30990.0 ,                  30990.0 ,                     8334.0 ,                      17633.0 ,                      694.0 ,                   6121.0 ,                    15320.0 ,                    680.0 ,                   30990.0 ,                     30990.0 ,                   30990.0 ,                      5639.0 ,                       12911.0 ,                       653.0 ,                    4635.0 ,                     11607.0 ,                     648.0
AL_RS_Energie.csv0.3        ,  19301 ,   1.31  ,            1097 ,             2.62  ,              272 ,                  18123.0 ,                    18123.0 ,                  18123.0 ,                     6372.0 ,                      12502.0 ,                      235.0 ,                   4471.0 ,                    10796.0 ,                    216.0 ,                  18123.0 ,                    18123.0 ,                  18123.0 ,                     5364.0 ,                      10832.0 ,                      434.0 ,                   4088.0 ,                     9546.0 ,                    427.0 ,                   18123.0 ,                     18123.0 ,                   18123.0 ,                      3871.0 ,                        8344.0 ,                       408.0 ,                    3208.0 ,                      7638.0 ,                     405.0
AL_RS_Energie.csv0.2        ,  12867 ,   1.282 ,             363 ,             2.564 ,              210 ,                  11689.0 ,                    11689.0 ,                  11689.0 ,                     4375.0 ,                       7837.0 ,                      192.0 ,                   3138.0 ,                     6920.0 ,                    175.0 ,                  11689.0 ,                    11689.0 ,                  11689.0 ,                     3679.0 ,                       6803.0 ,                      380.0 ,                   2927.0 ,                     6130.0 ,                    368.0 ,                   11689.0 ,                     11689.0 ,                   11689.0 ,                      2602.0 ,                        5193.0 ,                       351.0 ,                    2190.0 ,                      4789.0 ,                     347.0
S_RS_Energie.csv0.5         ,  21008 ,   2.184 ,           12207 ,             4.368 ,              390 ,                  19914.0 ,                    19914.0 ,                  19914.0 ,                      828.0 ,                       9343.0 ,                      312.0 ,                    774.0 ,                     7396.0 ,                    262.0 ,                  19914.0 ,                    19914.0 ,                  19914.0 ,                     1120.0 ,                       5893.0 ,                      553.0 ,                   1081.0 ,                     5130.0 ,                    548.0 ,                   19914.0 ,                     19914.0 ,                   19914.0 ,                       901.0 ,                        3020.0 ,                       549.0 ,                     879.0 ,                      2896.0 ,                     546.0
S_RS_Energie.csv0.3         ,  12604 ,   2.248 ,            7439 ,             4.496 ,              220 ,                  11510.0 ,                    11510.0 ,                  11510.0 ,                      427.0 ,                       5026.0 ,                      166.0 ,                    408.0 ,                     3978.0 ,                    141.0 ,                  11510.0 ,                    11510.0 ,                  11510.0 ,                      573.0 ,                       3238.0 ,                      339.0 ,                    566.0 ,                     2841.0 ,                    332.0 ,                   11510.0 ,                     11510.0 ,                   11510.0 ,                       413.0 ,                        1826.0 ,                       323.0 ,                     411.0 ,                      1741.0 ,                     317.0
S_RS_Energie.csv0.2         ,   8403 ,   2.069 ,            6112 ,             4.138 ,              159 ,                   7309.0 ,                     7309.0 ,                   7309.0 ,                      384.0 ,                       3777.0 ,                      117.0 ,                    346.0 ,                     3094.0 ,                     99.0 ,                   7309.0 ,                     7309.0 ,                   7309.0 ,                      491.0 ,                       2434.0 ,                      254.0 ,                    488.0 ,                     2187.0 ,                    249.0 ,                    7309.0 ,                      7309.0 ,                    7309.0 ,                       315.0 ,                        1334.0 ,                       226.0 ,                     307.0 ,                      1280.0 ,                     225.0
